Kraj,Okres,Cluster,Simulated_Unemployment,GradientBoosting_Prediction,RandomForest_Prediction,AdaBoost_Prediction,Real_Unemployment
moravskoslezskykraj,frydek-mistek,4,4.801956104199382,4.7999330042697785,4.561893112148074,4.786666486965302,3.1
moravskoslezskykraj,karvina,0,4.718550278859336,4.69066921802035,4.293409392094271,4.718550278859336,8.9
moravskoslezskykraj,novyjicin,5,4.598453108804953,4.5982251475289635,4.351471528650258,4.559991648684258,3.2
moravskoslezskykraj,opava,3,5.262232245500526,5.237113729372384,4.760955956196208,5.066094438972267,2.8
moravskoslezskykraj,ostrava-mesto,1,5.026367127965787,4.9969299390292115,4.7488385556843244,4.902654546699234,6.3
olomouckykraj,jesenik,2,3.346176712233563,3.3514317329106444,3.4275433575553547,3.1338777772264446,3.3
olomouckykraj,olomouc,0,3.202592134346254,3.2158546294574317,3.524460100775747,3.202592134346254,3.0
olomouckykraj,prerov,4,3.051853228607728,3.0565403731301934,3.2890408047718513,3.087963307151932,4.2
olomouckykraj,prostejov,1,3.1559051126312885,3.2087102494490516,3.3703123825570684,3.1406176809856485,2.2
olomouckykraj,sumperk,3,3.243472812181168,3.1958257679694015,3.1495598584104143,3.092875097310344,3.4
pardubickykraj,chrudim,2,2.5450367972114774,2.568870422530456,2.8325716043339497,2.8008811985752273,2.3
pardubickykraj,pardubice,0,2.5207799551053545,2.572089144327684,2.905090653627527,2.8716260154992987,2.2
pardubickykraj,svitavy,1,2.526527243721091,2.521205856511733,2.6728488449768975,2.840640243754521,2.2
pardubickykraj,ustinadorlici,3,2.4076560039620754,2.4270430278295256,2.6043038511521557,2.8342564363126646,2.2
plzenskykraj,domazlice,2,2.7247452126865683,2.7158344857744376,2.772934829163918,2.898912203562554,3.2
plzenskykraj,klatovy,4,2.614825732906875,2.631734422822824,2.7192738009289594,2.8776105855661367,2.4
plzenskykraj,plzen-jih,0,2.6380651809394284,2.675892177178783,2.7117393922563986,2.8776105855661367,2.3
plzenskykraj,plzen-mesto,1,2.8764558239485147,2.906604061283686,3.169272657906077,3.0138233767547162,2.7
plzenskykraj,plzen-sever,3,2.582542233597687,2.6425651276551676,2.719594148022196,2.8786832209634188,2.8
plzenskykraj,rokycany,5,2.6710751174740563,2.7050137737797435,2.768214604581177,2.898912203562554,3.3
plzenskykraj,tachov,6,2.7922906984468696,2.7967579992084337,2.9546176726502216,3.0676776435070376,3.2
stredoceskykraj,benesov,4,3.1066376686963975,3.1197019710621525,3.2181728803977165,3.1066376686963975,1.9
stredoceskykraj,beroun,1,3.2289719689937724,3.2062754455806144,3.086515551518561,3.1052205718831978,3.4
stredoceskykraj,hlavnimestoprahavychod,2,3.002988343114389,3.0229844241171007,3.324622524067526,3.002988343114389,
stredoceskykraj,hlavnimestoprahazapad,5,3.1284816303371685,3.1115060066784377,3.225143934247036,3.2640514222354184,
stredoceskykraj,kladno,0,3.311452472744988,3.3628339993056606,3.350630817341909,3.1406176809856485,4.8
stredoceskykraj,kolin,6,2.9571321498576486,2.9405740674050644,3.000099911157016,2.9005786156640005,4.0
stredoceskykraj,kutnahora,1,3.241937582113836,3.1880379983931943,3.090029875732967,2.8776105855661367,3.0
stredoceskykraj,melnik,1,3.116560885032973,3.094074811909737,3.0804760826178095,3.00513294136181,4.4
stredoceskykraj,mladaboleslav,3,2.903286390919807,2.939747286655427,2.9887819646467637,2.864864746344641,2.1
stredoceskykraj,nymburk,4,2.990944205114417,2.9470493171811225,2.9722397173344928,2.9005786156640005,4.2
stredoceskykraj,pribram,1,3.0935541668838016,3.065117497289434,3.028278353499281,3.004776019467951,4.0
stredoceskykraj,rakovnik,1,3.1180525361907976,3.0919982155743715,3.0305086602446227,2.90243601696517,3.1
usteckykraj,chomutov,2,5.561210092611872,5.528037162554628,5.08257342871807,5.4110899629542875,6.1
usteckykraj,decin,4,5.031583157822188,5.021477952960127,4.73614499524172,4.946811528333125,4.8
usteckykraj,litomerice,0,4.778941965432682,4.759898351968743,4.312482085578637,4.778941965432682,3.2
usteckykraj,louny,5,5.265803456791483,5.251950098638746,4.70913493161325,5.079747453492698,5.7
usteckykraj,most,3,5.43941637731817,5.430973027859516,5.147949683689308,5.300561376667021,6.8
usteckykraj,teplice,6,5.403491230683599,5.365285168458727,5.0267315557983805,5.114311678550847,4.4
usteckykraj,ustinadlabem,1,5.619553719340007,5.582526512355209,5.103615630938753,5.439790461090607,6.1
zlinskykraj,kromeriz,2,2.796115230662041,2.808765496541157,3.174625252279039,2.9637947379674587,2.7
zlinskykraj,uherskehradiste,0,2.5804698279378266,2.618054293398447,2.82785668459541,3.046910235489857,2.5
zlinskykraj,vsetin,3,2.8672970497073966,2.8743954275686248,3.0921329245461893,3.0138233767547162,3.4
zlinskykraj,zlin,1,2.5561178916927356,2.5782191601544446,3.0076836739910613,2.8771858386589493,2.4
